"device_id","meldecode","meldeklasse","interndiagcode","kurztext_de","kurztext_2","kurztext_3","kurztext_4"
"1","21010","M","11","Traktion: +5 Trenner 25kV","Сил.Сх.: +5 разъединитель 25кВ","Разъединитель 25кВ заблокирован с ИЧМ","Разъединитель 25кВ разблокирован с ИЧМ"
"1","21011","A","12","Traktion: +5 Trenner 25kV","Сил.Сх.: +5 разъединитель 25кВ","Поступило ДС 21011 Сил.Сх.: +5 разъединитель 25кВ","Более не активно ДС 21011 Сил.Сх.: +5 разъединитель 25кВ"
"1","21012","M","13","Traktion: +5 Trenner 25kV","Сил.Сх.: +5 разъединитель 25кВ","Поступило ДС 21012 Сил.Сх.: +5 разъединитель 25кВ","Более не активно ДС 21012 Сил.Сх.: +5 разъединитель 25кВ"
"1","21013","M","14","HSTR: Systemerkennung","Сил.Сх.: Система распознавания рода тока","Поступило ДС 21013 Сил.Сх.: Система распознавания рода тока","Более не активно ДС 21013 Сил.Сх.: Система распознавания рода тока"
"1","21014","M","15","HSTR: Überstrom in der AC Dachleitung","Сил.Сх.: Ток перегрузки в крышевой проводке 25 кВ","Поступило ДС 21014 Сил.Сх.: Ток перегрузки в крышевой проводке 25 кВ","Более не активно ДС 21014 Сил.Сх.: Ток перегрузки в крышевой проводке 25 кВ"
"1","21015","M","16","HSTR: Überschreitung des Differenzstroms in der AC Dachleitung","Сил.Сх.: Превышение разностного тока на линии 25 кВ","Поступило ДС 21015 Сил.Сх.: Превышение разностного тока на линии 25 кВ","Более не активно ДС 21015 Сил.Сх.: Превышение разностного тока на линии 25 кВ"
"1","21016","M","17","HSTR: Überstrom in der DC Heizleitung 3 kV","Сил.Сх.: Ток перегрузки на шине отопления пост. тока 3 кВ","Поступило ДС 21016 Сил.Сх.: Ток перегрузки на шине отопления пост. тока 3 кВ","Более не активно ДС 21016 Сил.Сх.: Ток перегрузки на шине отопления пост. тока 3 кВ"
"1","21017","M","18","HSTR: BLOK hat den Hauptschalter ausgeschaltet","Сил.Сх.: БЛОК выключил БВ/ГВ","Поступило ДС 21017 Сил.Сх.: БЛОК выключил БВ/ГВ","Более не активно ДС 21017 Сил.Сх.: БЛОК выключил БВ/ГВ"
"1","21018","M","19","NOTHALT","АВАРИЙНАЯ ОСТАНОВКА","Нажата кнопка АВАРИЙНАЯ ОСТАНОВКА","Отпущена кнопка АВАРИЙНАЯ ОСТАНОВКА"
"1","21019","M","20","HSTR: +3 A-Schlüssel betätigt","Сил.Сх.: +3 Ключ А приведен в действие","Сил.Сх.: +3 Ключ А приведен в действие","Сил.Сх.: +3 Ключ А приведен в действие вернули в исходное положение"
"1","21021","C","21","Traktion: +5 LSS Trenner 25kV","Сил.Сх.: +5 АЗВ разъединитель 25кВ","Поступило ДС 21021 Сил.Сх.: +5 АЗВ разъединитель 25кВ","Более не активно ДС 21021 Сил.Сх.: +5 АЗВ разъединитель 25кВ"
"1","21022","D","22","+1 Kipptaster Stromabnehmer: Redundanzfehler in Position Heben","+1 перекидной ключ токоприемника: ошибка резервирования в положении подъема","Поступило ДС 21022 +1 перекидной ключ токоприемника: ошибка резервирования в положении подъема","Более не активно ДС 21022 +1 перекидной ключ токоприемника: ошибка резервирования в положении подъема"
"1","21023","D","23","+1 Kipptaster Stromabnehmer: Redundanzfehler in Position Senken","+1 перекидной ключ токоприемника: ошибка резервирования в положении опускания","Поступило ДС 21023 +1 перекидной ключ токоприемника: ошибка резервирования в положении опускания","Более не активно ДС 21023 +1 перекидной ключ токоприемника: ошибка резервирования в положении опускания"
"1","21024","D","24","+2 Kipptaster Stromabnehmer: Redundanzfehler in Position Heben","+2 перекидной ключ токоприемника: ошибка резервирования в положении подъема","Поступило ДС 21024 +2 перекидной ключ токоприемника: ошибка резервирования в положении подъема","Более не активно ДС 21024 +2 перекидной ключ токоприемника: ошибка резервирования в положении подъема"
"1","21025","D","25","+2 Kipptaster Stromabnehmer: Redundanzfehler in Position Senken","+2 перекидной ключ токоприемника: ошибка резервирования в положении опускания","Поступило ДС 21025 +2 перекидной ключ токоприемника: ошибка резервирования в положении опускания","Более не активно ДС 21025 +2 перекидной ключ токоприемника: ошибка резервирования в положении опускания"
"1","21026","D","26","+1 Kipptaster Hauptschalter: Redundanzfehler in Position Ein","+1 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.","Поступило ДС 21026 +1 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.","Более не активно ДС 21026 +1 перекидной ключ главного выключателя: ошибка резервирования в положении вкл."
"1","21027","D","27","+1 Kipptaster Hauptschalter: Redundanzfehler in Position Aus","+1 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.","Поступило ДС 21027 +1 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.","Более не активно ДС 21027 +1 перекидной ключ главного выключателя: ошибка резервирования в положении выкл."
"1","21028","D","28","+2 Kipptaster Hauptschalter: Redundanzfehler in Position Ein","+2 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.","Поступило ДС 21028 +2 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.","Более не активно ДС 21028 +2 перекидной ключ главного выключателя: ошибка резервирования в положении вкл."
"1","21029","D","29","+2 Kipptaster Hauptschalter: Redundanzfehler in Position Aus","+2 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.","Поступило ДС 21029 +2 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.","Более не активно ДС 21029 +2 перекидной ключ главного выключателя: ошибка резервирования в положении выкл."
"1","21031","D","30","+5 Trenner 25kV: Ansteuerung gestört (Kanal A)","+5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал A)","Поступило ДС 21031 +5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал A)","Более не активно ДС 21031 +5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал A)"
"1","21032","D","31","+5 Trenner 25kV: Ansteuerung gestört (Kanal B)","+5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал В)","Поступило ДС 21032 +5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал В)","Более не активно ДС 21032 +5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал В)"
"1","21033","D","32","A-Schlüssel Redundanzfehler","Ключ А, ошибка резервирования","Поступило ДС 21033 Ключ А, ошибка резервирования","Более не активно ДС 21033 Ключ А, ошибка резервирования"
"1","21035","D","33","Abbruch HSS Test AC: Schaltkontakt ZSG Baugruppe +3UWDS unplausibel","Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения","Поступило ДС 21035 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения","Более не активно ДС 21035 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения"
"1","21036","D","34","Abbruch HSS Test AC: Schaltkontakt ZSG Baugruppe +4UWDS unplausibel","Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения","Поступило ДС 21036 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения","Более не активно ДС 21036 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения"
"1","21037","D","35","Abbruch HSS Test AC: Schaltkontakt ZSG Baugruppe UWPS Kanal 1 unplausibel","Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 1, неприемлемые значения","Поступило ДС 21037 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 1, неприемлемые значения","Более не активно ДС 21037 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 1, неприемлемые значения"
"1","21038","D","36","Abbruch HSS Test AC: Schaltkontakt ZSG Baugruppe UWPS Kanal 2 unplausibel","Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 2, неприемлемые значения","Поступило ДС 21038 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 2, неприемлемые значения","Более не активно ДС 21038 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 2, неприемлемые значения"
"1","21039","D","37","Abbruch HSS Test AC: Schaltkontakt 2 (4QS) ASG 11 unplausibel","Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения","Поступило ДС 21039 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения","Более не активно ДС 21039 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения"
"1","21040","D","38","Abbruch HSS Test AC: Schaltkontakt 1 (PWR) ASG 11 unplausibel","Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения","Поступило ДС 21040 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения","Более не активно ДС 21040 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения"
"1","21041","D","39","Abbruch HSS Test AC: Schaltkontakt 2 (4QS) ASG 12 unplausibel","Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 12, неприемлемые значения","Поступило ДС 21041 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 12, неприемлемые значения","Более не активно ДС 21041 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 12, неприемлемые значения"
"1","21042","D","40","Abbruch HSS Test AC: Schaltkontakt 1 (PWR) ASG 12 unplausibel","Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 12, неприемлемые значения","Поступило ДС 21042 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 12, неприемлемые значения","Более не активно ДС 21042 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 12, неприемлемые значения"
"1","21043","D","41","Abbruch HSS Test AC: Schaltkontakt 2 (4QS) ASG 21 unplausibel","Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 21, неприемлемые значения","Поступило ДС 21043 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 21, неприемлемые значения","Более не активно ДС 21043 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 21, неприемлемые значения"
"1","21044","D","42","Abbruch HSS Test AC: Schaltkontakt 1 (PWR) ASG 21 unplausibel","Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 21, неприемлемые значения","Поступило ДС 21044 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 21, неприемлемые значения","Более не активно ДС 21044 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 21, неприемлемые значения"
"1","21045","D","43","Abbruch HSS Test AC: Schaltkontakt 2 (4QS) ASG 22 unplausibel","Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 22, неприемлемые значения","Поступило ДС 21045 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 22, неприемлемые значения","Более не активно ДС 21045 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 22, неприемлемые значения"
"1","21046","D","44","Abbruch HSS Test AC: Schaltkontakt 1 (PWR) ASG 22 unplausibel","Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 22, неприемлемые значения","Поступило ДС 21046 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 22, неприемлемые значения","Более не активно ДС 21046 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 22, неприемлемые значения"
"1","21047","D","45","Abbruch HSS Test DC: Schaltkontakt ZSG Baugruppe +3UWDS unplausibel","Отмена проверки петли главного выключателя пост. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения","Поступило ДС 21047 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения","Более не активно ДС 21047 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения"
"1","21048","D","46","Abbruch HSS Test DC: Schaltkontakt ZSG Baugruppe +4UWDS unplausibel","Отмена проверки петли главного выключателя пост. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения","Поступило ДС 21048 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения","Более не активно ДС 21048 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения"
"1","21049","D","47","Abbruch HSS Test DC: Schaltkontakt 2 (4QS) ASG 11 unplausibel","Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения","Поступило ДС 21049 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения","Более не активно ДС 21049 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения"
"1","21050","D","48","Abbruch HSS Test DC: Schaltkontakt 1 (PWR) ASG 11 unplausibel","Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения","Поступило ДС 21050 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения","Более не активно ДС 21050 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения"
"1","21051","D","49","Abbruch HSS Test DC: Schaltkontakt 2 (4QS) ASG 12 unplausibel","Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 12, неприемлемые значения","Поступило ДС 21051 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 12, неприемлемые значения","Более не активно ДС 21051 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 12, неприемлемые значения"
"1","21052","D","50","Abbruch HSS Test DC: Schaltkontakt 1 (PWR) ASG 12 unplausibel","Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 12, неприемлемые значения","Поступило ДС 21052 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 12, неприемлемые значения","Более не активно ДС 21052 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 12, неприемлемые значения"
"1","21053","D","51","Abbruch HSS Test DC: Schaltkontakt 2 (4QS) ASG 21 unplausibel","Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 21, неприемлемые значения","Поступило ДС 21053 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 21, неприемлемые значения","Более не активно ДС 21053 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 21, неприемлемые значения"
"1","21054","D","52","Abbruch HSS Test DC: Schaltkontakt 1 (PWR) ASG 21 unplausibel","Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 21, неприемлемые значения","Поступило ДС 21054 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 21, неприемлемые значения","Более не активно ДС 21054 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 21, неприемлемые значения"
"1","21055","D","53","Abbruch HSS Test DC: Schaltkontakt 2 (4QS) ASG 22 unplausibel","Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 22, неприемлемые значения","Поступило ДС 21055 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 22, неприемлемые значения","Более не активно ДС 21055 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 22, неприемлемые значения"
"1","21056","D","54","Abbruch HSS Test DC: Schaltkontakt 1 (PWR) ASG 22 unplausibel","Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 22, неприемлемые значения","Поступило ДС 21056 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 22, неприемлемые значения","Более не активно ДС 21056 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 22, неприемлемые значения"
"1","21057","M","55","HSTR: AC Hauptschalterschleifentest","Сил.Сх: Тест петли ГВ","Поступило ДС 21057 Сил.Сх: Тест петли ГВ","Более не активно ДС 21057 Сил.Сх: Тест петли ГВ"
"1","21058","M","56","HSTR: DC Hauptschalterschleifentest","Сил.Сх: Тест петли БВ","Поступило ДС 21058 Сил.Сх: Тест петли БВ","Более не активно ДС 21058 Сил.Сх: Тест петли БВ"
"1","21059","M","57","HSTR: +3 Hauptschalter ist gesperrt","Сил.Сх.: +3 БВ/ГВ заблокирован","Поступило ДС 21059 Сил.Сх.: +3 БВ/ГВ заблокирован","Более не активно ДС 21059 Сил.Сх.: +3 БВ/ГВ заблокирован"
"1","21060","M","58","HSTR: +4 Hauptschalter ist gesperrt","Сил.Сх.: +4 БВ/ГВ заблокирован","Поступило ДС 21060 Сил.Сх.: +4 БВ/ГВ заблокирован","Более не активно ДС 21060 Сил.Сх.: +4 БВ/ГВ заблокирован"
"1","21061","C","59","HSTR: +1 LSS Energiezähler","Сил.Сх.: +1 АЗВ счетчик эл. энергии","Поступило ДС 21061 Сил.Сх.: +1 АЗВ счетчик эл. энергии","Более не активно ДС 21061 Сил.Сх.: +1 АЗВ счетчик эл. энергии"
"1","21062","C","60","HSTR: +2 LSS Energiezähler","Сил.Сх.: +2 АЗВ счетчик эл. энергии","Поступило ДС 21062 Сил.Сх.: +2 АЗВ счетчик эл. энергии","Более не активно ДС 21062 Сил.Сх.: +2 АЗВ счетчик эл. энергии"
"1","21063","M","61","HSTR: +3 Hauptschalter ist durch ASG gesperrt","Сил.Сх.: +3 БУП заблокировал БВ/ГВ","Поступило ДС 21063 Сил.Сх.: +3 БУП заблокировал БВ/ГВ","Более не активно ДС 21063 Сил.Сх.: +3 БУП заблокировал БВ/ГВ"
"1","21064","M","62","HSTR: +4 Hauptschalter ist durch ASG gesperrt","Сил.Сх.: +4 БУП заблокировал БВ/ГВ","Поступило ДС 21064 Сил.Сх.: +4 БУП заблокировал БВ/ГВ","Более не активно ДС 21064 Сил.Сх.: +4 БУП заблокировал БВ/ГВ"
"1","21065","C","265","HSTR: +3 Haupschalterschleife","Сил.Сх.: +3 Запрет включения ГВ/БВ","Поступило ДС 21065 Сил.Сх.: +3 Запрет включения ГВ/БВ","Более не активно ДС 21065 Сил.Сх.: +3 Запрет включения ГВ/БВ"
"1","21066","C","307","HSTR: +4 Haupschalterschleife","Сил.Сх.: +4 Запрет включения ГВ/БВ","Поступило ДС 21066 Сил.Сх.: +4 Запрет включения ГВ/БВ","Более не активно ДС 21066 Сил.Сх.: +4 Запрет включения ГВ/БВ"
"1","21300","C","63","HSTR: +3 Stromabnehmer","Сил.Сх.: +3 токоприёмник","Поступило ДС 21300 Сил.Сх.: +3 токоприёмник","Более не активно ДС 21300 Сил.Сх.: +3 токоприёмник"
"1","21301","A","64","HSTR: +3 Stromabnehmer","Сил.Сх.: +3 токоприёмник","Поступило ДС 21301 Сил.Сх.: +3 токоприёмник","Более не активно ДС 21301 Сил.Сх.: +3 токоприёмник"
"1","21302","A","65","HSTR: +3 Stromabnehmer","Сил.Сх.: +3 токоприёмник","Поступило ДС 21302 Сил.Сх.: +3 токоприёмник","Более не активно ДС 21302 Сил.Сх.: +3 токоприёмник"
"1","21303","M","66","HSTR: +3 Stromabnehmer","Сил.Сх.: +3 токоприёмник","Токоприёмник вагона +300 заблокирован с ИЧМ","Токоприёмник вагона +300 разблокирован с ИЧМ"
"1","21304","C","67","HSTR: +3 Stromabnehmer","Сил.Сх.: +3 токоприёмник","Поступило ДС 21304 Сил.Сх.: +3 токоприёмник","Более не активно ДС 21304 Сил.Сх.: +3 токоприёмник"
"1","21305","A","68","HSTR: +3 Stromabnehmer","Сил.Сх.: +3 токоприёмник","Поступило ДС 21305 Сил.Сх.: +3 токоприёмник","Более не активно ДС 21305 Сил.Сх.: +3 токоприёмник"
"1","21306","C","69","HSTR: +3 Stromabnehmer","Сил.Сх.: +3 токоприёмник","Поступило ДС 21306 Сил.Сх.: +3 токоприёмник","Более не активно ДС 21306 Сил.Сх.: +3 токоприёмник"
"1","21307","C","70","HSTR: +3 Systemerkennung","Сил.Сх.: +3 устройство распознавания рода тока","Поступило ДС 21307 Сил.Сх.: +3 устройство распознавания рода тока","Более не активно ДС 21307 Сил.Сх.: +3 устройство распознавания рода тока"
"1","21308","A","71","HSTR: +3 Systemumschalter","Сил.Сх.: +3 системный переключатель","Поступило ДС 21308 Сил.Сх.: +3 системный переключатель","Более не активно ДС 21308 Сил.Сх.: +3 системный переключатель"
"1","21309","A","72","HSTR: +3 Systemumschalter","Сил.Сх.: +3 системный переключатель","Поступило ДС 21309 Сил.Сх.: +3 системный переключатель","Более не активно ДС 21309 Сил.Сх.: +3 системный переключатель"
"1","21310","C","73","HSTR: +3 Systemumschalter","Сил.Сх.: +3 системный переключатель","Поступило ДС 21310 Сил.Сх.: +3 системный переключатель","Более не активно ДС 21310 Сил.Сх.: +3 системный переключатель"
"1","21312","C","74","Hilfskompressor: +3 LSS","Вспомогательный компрессор: +3 АЗВ","Поступило ДС 21312 Вспомогательный компрессор: +3 АЗВ","Более не активно ДС 21312 Вспомогательный компрессор: +3 АЗВ"
"1","21317","B","75","Traktion: +3 ZSG Baugruppe UWDS","Сил.Сх.: +3 ЦБУ модуль UWDS","Поступило ДС 21317 Сил.Сх.: +3 ЦБУ модуль UWDS","Более не активно ДС 21317 Сил.Сх.: +3 ЦБУ модуль UWDS"
"1","21319","C","76","HSTR: +3 LSS Stromabnehmer","Сил.Сх.: +3 АЗВ токоприёмник","Поступило ДС 21319 Сил.Сх.: +3 АЗВ токоприёмник","Более не активно ДС 21319 Сил.Сх.: +3 АЗВ токоприёмник"
"1","21320","C","77","Traktion: +3 LSS Trenner","Сил.Сх.: +3 АЗВ разъединитель","Поступило ДС 21320 Сил.Сх.: +3 АЗВ разъединитель","Более не активно ДС 21320 Сил.Сх.: +3 АЗВ разъединитель"
"1","21321","M","78","Traktion: +3 UWDS, Sperre Traktionsstromrichter","Сил.Сх.: +3 UWDS, блокировка тягового преобразователя","Поступило ДС 21321 Сил.Сх.: +3 UWDS, блокировка тягового преобразователя","Более не активно ДС 21321 Сил.Сх.: +3 UWDS, блокировка тягового преобразователя"
"1","21322","M","79","Traktion: +3 UWDS, Hauptschalter öffnen","Сил.Сх.: +3 UWDS, разомкнуть главный выключатель","Поступило ДС 21322 Сил.Сх.: +3 UWDS, разомкнуть главный выключатель","Более не активно ДС 21322 Сил.Сх.: +3 UWDS, разомкнуть главный выключатель"
"1","21323","C","80","HSTR: +3 Haupttransformator","Сил.Сх.: +3 Гл. трансформатор","Поступило ДС 21323 Сил.Сх.: +3 Гл. трансформатор","Более не активно ДС 21323 Сил.Сх.: +3 Гл. трансформатор"
"1","21324","C","81","HSTR: +3 Haupttransformator","Сил.Сх.: +3 Гл. трансформатор","Поступило ДС 21324 Сил.Сх.: +3 Гл. трансформатор","Более не активно ДС 21324 Сил.Сх.: +3 Гл. трансформатор"
"1","21325","A","1000","HSTR: +3 Hauptschalter AC","Сил.Сх.: +3 ГВ","Поступило ДС 21325 Сил.Сх.: +3 ГВ","Более не активно ДС 21325 Сил.Сх.: +3 ГВ"
"1","21330","A","82","HSTR: +3 Hauptschalter AC","Сил.Сх.: +3 ГВ","Поступило ДС 21330 Сил.Сх.: +3 ГВ","Более не активно ДС 21330 Сил.Сх.: +3 ГВ"
"1","21331","A","83","HSTR: +3 Hauptschalter AC","Сил.Сх.: +3 ГВ","Поступило ДС 21331 Сил.Сх.: +3 ГВ","Более не активно ДС 21331 Сил.Сх.: +3 ГВ"
"1","21332","C","84","HSTR: +3 Hauptschalter AC","Сил.Сх.: +3 ГВ","Поступило ДС 21332 Сил.Сх.: +3 ГВ","Более не активно ДС 21332 Сил.Сх.: +3 ГВ"
"1","21333","A","85","HSTR: +3 Hauptschalter AC","Сил.Сх.: +3 ГВ","Поступило ДС 21333 Сил.Сх.: +3 ГВ","Более не активно ДС 21333 Сил.Сх.: +3 ГВ"
